x,y
0,897.2149
1,963.254
2,986.1801
3,992.4478
4,1020.1549
5,1080.4735
6,1024.3756
7,1135.834
8,989.8699
9,1050.4021
10,1019.6492
11,1019.2145
12,1018.2329
13,1058.2768
14,1078.8872
15,1050.8662
16,1073.8223
17,1079.2049
18,1020.5339
19,1050.2804
20,1095.5043
21,1034.868
22,1016.0213
23,1024.3428
24,1027.2401
25,1012.8937
26,1027.2871
27,1038.3072
28,993.4962
29,1083.0622
30,1053.6649
31,1043.2635
32,1079.6977
33,1018.4155
34,1081.9936
35,1046.0499
36,1054.3869
37,1019.399
38,1050.5584
39,1049.991
40,899.3493
41,963.7855
42,937.1396
43,978.9246
44,1020.1129
45,1021.1939
46,1019.1342
47,1027.6648
48,1050.8762
49,981.4067
50,1074.8238
51,1027.1045
52,985.7798
53,1052.9598
54,989.5377
55,1002.6173
56,1041.933
57,1046.1753
58,1021.8991
59,1077.6027
60,1058.5513
61,1102.4611
62,1058.6326
63,1040.2876
64,1014.8315
65,1025.3293
68,1075.7473
69,973.5782
70,1071.0096
71,1049.6328
72,1007.161
73,1070.3672
74,1012.0984
75,995.3186
76,1024.394
77,1086.4198
78,1003.8584
79,1080.0867
80,1080.2191
81,1019.8749
82,1075.4682
83,1144.8825
84,1030.6618
85,1069.4008
86,1020.1618
87,1023.1282
88,1089.7319
89,1032.2922
90,1054.4179
91,1080.2377
92,1032.2891
93,1067.7478
94,1019.8298
95,1024.9646
96,1060.0026
97,1084.5108
98,1030.5543
99,990.2825
100,1050.1411
101,1017.2115
102,1021.7803
103,1018.5757
104,941.3474
105,951.465
106,966.0555
107,980.2282
108,1023.0862
109,1028.3048
110,1011.4245
111,994.2015
112,1046.3457
113,1023.0829
114,1016.6059
115,960.0897
116,988.8133
117,1051.5129
118,983.5743
119,1082.7386
120,1085.1274
121,1049.0332
122,1108.6983
123,1078.8555
124,1051.5582
125,1017.456
126,1048.4103
127,1053.8587
128,1019.684
129,1051.6759
130,1048.8437
131,1080.0956
132,1018.0386
133,1081.3912
134,1020.4205
135,899.3118
136,969.4348
137,955.6954
138,1015.6268
139,1019.7849
140,1063.5251
141,1063.9205
142,1052.8259
143,1079.3814
144,1080.7044
145,1044.4378
146,1055.9449
147,1080.9875
148,1073.3746
149,1090.9188
150,1084.2406
151,1049.931
152,1070.1623
153,1079.5223
154,1079.584
155,1075.2494
156,1084.932
157,1126.0261
158,1060.0927
159,1058.2963
160,1093.5512
161,1032.7961
162,1032.8091
163,1036.6876
164,1079.1001
165,1084.7079
166,1046.3081
167,1111.8426
168,1047.9133
169,1032.394
170,1130.5267
171,1012.155
172,1092.8313
173,1045.1917
174,1086.4775
175,1040.8995
176,1025.2067
177,1052.1374
178,1042.2965
179,1080.1245
180,1079.974
181,1080.2374
182,1080.2352
183,1080.0293
184,1031.3477
185,1063.3371
186,1087.9961
187,1047.333
188,1086.553
189,950.3483
190,989.2103
192,1050.4129
193,989.2225
194,1023.8942
195,1046.0051
196,1050.9711
197,1014.4192
198,1074.8331
199,1060.2803
200,1050.2682
201,1079.521
202,1016.8316
203,1073.9975
204,1073.9975
205,1089.156
206,1130.7566
207,1025.9835
208,1090.9461
209,1116.9098
210,1085.3612
211,1080.9786
212,1081.1331
213,1018.2404
214,1079.627
215,1049.4567
216,1051.2637
217,1080.0519
218,1080.1975
219,1027.0436
220,1132.8892
221,1076.7745
222,1021.0192
223,1082.9294
224,1081.6869
225,1097.0553
226,1070.5142
227,1082.5414
228,1066.8829
229,1073.8807
230,1088.7435
231,1088.1095
232,1130.5437
233,1078.9614
234,1022.3682
235,1085.9542
236,1045.9398
237,1046.0199
238,1079.5286
239,1019.9842
240,1050.1799
241,1107.3821
242,1052.3787
243,1050.6696
244,1077.598
245,1000.8789
246,1093.5651
247,1092.8201
248,1074.4085
249,1050.7253
250,1078.5462
251,1016.4011
252,1087.1345
253,1077.4404
254,1068.6649
255,1031.0415
256,1080.8319
257,1019.8096
258,1087.0709
259,1079.9482
260,1047.8836
261,1082.3752
262,1070.6322
263,1052.8163
264,1017.8044
265,1067.7896
266,1033.5334
267,1028.3621
268,1041.3824
269,982.4959
270,1059.6934
271,1071.0458
272,997.4818
273,1080.9241
274,1078.2703
275,1012.7645
276,1087.3312
277,1022.3429
278,1039.3227
279,1086.4249
280,1043.3264
281,1023.6601
282,1052.9552
283,1088.0996
284,1043.5825
285,1073.2168
286,1025.225
287,1081.8354
288,1049.6923
289,1020.9651
290,1060.6462
291,1038.6472
292,1016.5363
293,1059.9983
294,1043.6598
295,1021.7308
296,1054.2957
297,1122.5078
298,1028.8098
299,1052.2658
